Rank,City_country,Attribute,Value
11,"New York, NY, United States",Internet 60mbps ,50.09
11,"New York, NY, United States",Gym monthly ,44.89
11,"New York, NY, United States",Cinema (1 ticket),14.39
11,"New York, NY, United States",Levi 501 Jeans,82.2
11,"New York, NY, United States",Nike runners,107.32
12,"San Francisco, CA, United States",Food,155.11
12,"San Francisco, CA, United States",Cigarettes 20 Pack,15
12,"San Francisco, CA, United States",Public Transport,129
12,"San Francisco, CA, United States",Petrol 50L ,64.5
12,"San Francisco, CA, United States",Utility bills ,180.61
12,"San Francisco, CA, United States",Internet 60mbps ,69.77
12,"San Francisco, CA, United States",Gym monthly ,104.82
12,"San Francisco, CA, United States",Cinema (1 ticket),18
12,"San Francisco, CA, United States",Levi 501 Jeans,62.13
12,"San Francisco, CA, United States",Nike runners,95.29
13,"Nassau, Bahamas",Food,134.31
13,"Nassau, Bahamas",Cigarettes 20 Pack,13.67
13,"Nassau, Bahamas",Public Transport,88.37
13,"Nassau, Bahamas",Petrol 50L ,108.5
13,"Nassau, Bahamas",Utility bills ,162.4
13,"Nassau, Bahamas",Internet 60mbps ,56.16
13,"Nassau, Bahamas",Gym monthly ,34.08
13,"Nassau, Bahamas",Cinema (1 ticket),15.41
13,"Nassau, Bahamas",Levi 501 Jeans,77.04
13,"Nassau, Bahamas",Nike runners,98.9
14,Data Unavailable for this city,No data for this city,0
15,"Seattle, WA, United States",Food,167.28
15,"Seattle, WA, United States",Cigarettes 20 Pack,11.99
15,"Seattle, WA, United States",Public Transport,75
15,"Seattle, WA, United States",Petrol 50L ,68.5
15,"Seattle, WA, United States",Utility bills ,282.08
15,"Seattle, WA, United States",Internet 60mbps ,66.61
15,"Seattle, WA, United States",Gym monthly ,58.34
15,"Seattle, WA, United States",Cinema (1 ticket),15
15,"Seattle, WA, United States",Levi 501 Jeans,49.75
15,"Seattle, WA, United States",Nike runners,107.22
16,"Stavanger, Norway",Food,140.39
16,"Stavanger, Norway",Cigarettes 20 Pack,10.2
16,"Stavanger, Norway",Public Transport,60
16,"Stavanger, Norway",Petrol 50L ,67
16,"Stavanger, Norway",Utility bills ,253.44
16,"Stavanger, Norway",Internet 60mbps ,121.27
16,"Stavanger, Norway",Gym monthly ,77.5
16,"Stavanger, Norway",Cinema (1 ticket),14
16,"Stavanger, Norway",Levi 501 Jeans,45.62
16,"Stavanger, Norway",Nike runners,79.8
17,"Oakland, CA, United States",Food,128.08
17,"Oakland, CA, United States",Cigarettes 20 Pack,15.5
17,"Oakland, CA, United States",Public Transport,127
17,"Oakland, CA, United States",Petrol 50L ,61.5
17,"Oakland, CA, United States",Utility bills ,132.48
17,"Oakland, CA, United States",Internet 60mbps ,64.21
17,"Oakland, CA, United States",Gym monthly ,59
17,"Oakland, CA, United States",Cinema (1 ticket),17
17,"Oakland, CA, United States",Levi 501 Jeans,59.45
17,"Oakland, CA, United States",Nike runners,89.23
18,"Bergen, Norway",Food,127.58
18,"Bergen, Norway",Cigarettes 20 Pack,11
18,"Bergen, Norway",Public Transport,102
18,"Bergen, Norway",Petrol 50L ,62
18,"Bergen, Norway",Utility bills ,159.71
18,"Bergen, Norway",Internet 60mbps ,56.06
18,"Bergen, Norway",Gym monthly ,86.88
18,"Bergen, Norway",Cinema (1 ticket),13.99
18,"Bergen, Norway",Levi 501 Jeans,54.7
18,"Bergen, Norway",Nike runners,96.75
19,Data Unavailable for this city,No data for this city,0
20,"Trondheim, Norway",Food,116.53
20,"Trondheim, Norway",Cigarettes 20 Pack,8.51
20,"Trondheim, Norway",Public Transport,73.71
20,"Trondheim, Norway",Petrol 50L ,110
20,"Trondheim, Norway",Utility bills ,203.32
