Rank,City_country,Attribute,Value
111,"Oklahoma City, OK, United States",Petrol 50L ,111.5
111,"Oklahoma City, OK, United States",Utility bills ,217.37
111,"Oklahoma City, OK, United States",Internet 60mbps ,42.35
111,"Oklahoma City, OK, United States",Gym monthly ,33.01
111,"Oklahoma City, OK, United States",Cinema (1 ticket),12.64
111,"Oklahoma City, OK, United States",Levi 501 Jeans,70.78
111,"Oklahoma City, OK, United States",Nike runners,86.14
112,"Hamburg, Germany",Food,93.36
112,"Hamburg, Germany",Cigarettes 20 Pack,14.76
112,"Hamburg, Germany",Public Transport,71.34
112,"Hamburg, Germany",Petrol 50L ,100.5
112,"Hamburg, Germany",Utility bills ,259.08
112,"Hamburg, Germany",Internet 60mbps ,35.67
112,"Hamburg, Germany",Gym monthly ,38.54
112,"Hamburg, Germany",Cinema (1 ticket),14.15
112,"Hamburg, Germany",Levi 501 Jeans,89.61
112,"Hamburg, Germany",Nike runners,100.71
113,"Maastricht, Netherlands",Food,89.26
113,"Maastricht, Netherlands",Cigarettes 20 Pack,15.99
113,"Maastricht, Netherlands",Public Transport,86.88
113,"Maastricht, Netherlands",Petrol 50L ,98.5
113,"Maastricht, Netherlands",Utility bills ,205.59
113,"Maastricht, Netherlands",Internet 60mbps ,35.67
113,"Maastricht, Netherlands",Gym monthly ,51.93
113,"Maastricht, Netherlands",Cinema (1 ticket),12.3
113,"Maastricht, Netherlands",Levi 501 Jeans,67.65
113,"Maastricht, Netherlands",Nike runners,77.49
114,"Boise, ID, United States",Food,103.26
114,"Boise, ID, United States",Cigarettes 20 Pack,26.5
114,"Boise, ID, United States",Public Transport,43.14
114,"Boise, ID, United States",Petrol 50L ,67
114,"Boise, ID, United States",Utility bills ,170.7
114,"Boise, ID, United States",Internet 60mbps ,60.68
114,"Boise, ID, United States",Gym monthly ,43.09
114,"Boise, ID, United States",Cinema (1 ticket),16.65
114,"Boise, ID, United States",Levi 501 Jeans,64.56
114,"Boise, ID, United States",Nike runners,105.33
115,"Turku, Finland",Food,119.8
115,"Turku, Finland",Cigarettes 20 Pack,10.95
115,"Turku, Finland",Public Transport,35
115,"Turku, Finland",Petrol 50L ,64
115,"Turku, Finland",Utility bills ,187.2
115,"Turku, Finland",Internet 60mbps ,61.33
115,"Turku, Finland",Gym monthly ,27.5
115,"Turku, Finland",Cinema (1 ticket),9.75
115,"Turku, Finland",Levi 501 Jeans,50
115,"Turku, Finland",Nike runners,102.14
116,"Frankfurt, Germany",Food,108.88
116,"Frankfurt, Germany",Cigarettes 20 Pack,10.75
116,"Frankfurt, Germany",Public Transport,57.96
116,"Frankfurt, Germany",Petrol 50L ,106
116,"Frankfurt, Germany",Utility bills ,175.57
116,"Frankfurt, Germany",Internet 60mbps ,33.87
116,"Frankfurt, Germany",Gym monthly ,29.27
116,"Frankfurt, Germany",Cinema (1 ticket),12.64
116,"Frankfurt, Germany",Levi 501 Jeans,108.01
116,"Frankfurt, Germany",Nike runners,90.32
117,"Groningen, Netherlands",Food,105.2
117,"Groningen, Netherlands",Cigarettes 20 Pack,8.64
117,"Groningen, Netherlands",Public Transport,94.84
117,"Groningen, Netherlands",Petrol 50L ,111
117,"Groningen, Netherlands",Utility bills ,271.85
117,"Groningen, Netherlands",Internet 60mbps ,44.05
117,"Groningen, Netherlands",Gym monthly ,29.15
117,"Groningen, Netherlands",Cinema (1 ticket),12.64
117,"Groningen, Netherlands",Levi 501 Jeans,80.98
117,"Groningen, Netherlands",Nike runners,94.31
118,"Jacksonville, FL, United States",Food,127.3
118,"Jacksonville, FL, United States",Cigarettes 20 Pack,10
118,"Jacksonville, FL, United States",Public Transport,75
118,"Jacksonville, FL, United States",Petrol 50L ,80.5
118,"Jacksonville, FL, United States",Utility bills ,201.77
118,"Jacksonville, FL, United States",Internet 60mbps ,74.15
118,"Jacksonville, FL, United States",Gym monthly ,48.42
118,"Jacksonville, FL, United States",Cinema (1 ticket),15
118,"Jacksonville, FL, United States",Levi 501 Jeans,53.95
118,"Jacksonville, FL, United States",Nike runners,89.62
119,"Houston, TX, United States",Food,131.17
119,"Houston, TX, United States",Cigarettes 20 Pack,10.28
119,"Houston, TX, United States",Public Transport,64.59
119,"Houston, TX, United States",Petrol 50L ,102
119,"Houston, TX, United States",Utility bills ,213.57
119,"Houston, TX, United States",Internet 60mbps ,30.06
119,"Houston, TX, United States",Gym monthly ,76.75
119,"Houston, TX, United States",Cinema (1 ticket),12.62
119,"Houston, TX, United States",Levi 501 Jeans,92.23
119,"Houston, TX, United States",Nike runners,128.34
120,"Hobart, Australia",Food,95.36
120,"Hobart, Australia",Cigarettes 20 Pack,7.9
120,"Hobart, Australia",Public Transport,96.94
120,"Hobart, Australia",Petrol 50L ,112
120,"Hobart, Australia",Utility bills ,287.14
120,"Hobart, Australia",Internet 60mbps ,37.75
120,"Hobart, Australia",Gym monthly ,55.36
120,"Hobart, Australia",Cinema (1 ticket),15.81
120,"Hobart, Australia",Levi 501 Jeans,92.23
120,"Hobart, Australia",Nike runners,108.62
121,Data Unavailable for this city,No data for this city,0
122,"Markham, Canada",Food,108.34
122,"Markham, Canada",Cigarettes 20 Pack,7
122,"Markham, Canada",Public Transport,95
122,"Markham, Canada",Petrol 50L ,50.5
122,"Markham, Canada",Utility bills ,213.22
122,"Markham, Canada",Internet 60mbps ,73.7
122,"Markham, Canada",Gym monthly ,40.18
122,"Markham, Canada",Cinema (1 ticket),15
122,"Markham, Canada",Levi 501 Jeans,56.38
122,"Markham, Canada",Nike runners,83.75
123,"Innsbruck, Austria",Food,123.04
123,"Innsbruck, Austria",Cigarettes 20 Pack,8.54
123,"Innsbruck, Austria",Public Transport,114
123,"Innsbruck, Austria",Petrol 50L ,57.5
123,"Innsbruck, Austria",Utility bills ,158.16
123,"Innsbruck, Austria",Internet 60mbps ,73.23
123,"Innsbruck, Austria",Gym monthly ,73.18
123,"Innsbruck, Austria",Cinema (1 ticket),14
123,"Innsbruck, Austria",Levi 501 Jeans,60.08
123,"Innsbruck, Austria",Nike runners,85.33
124,Data Unavailable for this city,No data for this city,0
125,Data Unavailable for this city,No data for this city,0
126,"Edmonton, Canada",Food,117.83
126,"Edmonton, Canada",Cigarettes 20 Pack,7
126,"Edmonton, Canada",Public Transport,55
126,"Edmonton, Canada",Petrol 50L ,58.5
126,"Edmonton, Canada",Utility bills ,213.78
126,"Edmonton, Canada",Internet 60mbps ,69.43
126,"Edmonton, Canada",Gym monthly ,46.75
126,"Edmonton, Canada",Cinema (1 ticket),10
126,"Edmonton, Canada",Levi 501 Jeans,65.57
126,"Edmonton, Canada",Nike runners,81.29
127,"Guildford, United Kingdom",Food,96.67
127,"Guildford, United Kingdom",Cigarettes 20 Pack,7.59
127,"Guildford, United Kingdom",Public Transport,98.1
127,"Guildford, United Kingdom",Petrol 50L ,112.5
127,"Guildford, United Kingdom",Utility bills ,341.76
127,"Guildford, United Kingdom",Internet 60mbps ,38.65
127,"Guildford, United Kingdom",Gym monthly ,47.13
127,"Guildford, United Kingdom",Cinema (1 ticket),12.91
127,"Guildford, United Kingdom",Levi 501 Jeans,86.4
127,"Guildford, United Kingdom",Nike runners,96.63
128,"Kamloops, Canada",Food,101.47
128,"Kamloops, Canada",Cigarettes 20 Pack,24.37
128,"Kamloops, Canada",Public Transport,96.21
128,"Kamloops, Canada",Petrol 50L ,90.5
128,"Kamloops, Canada",Utility bills ,138.14
128,"Kamloops, Canada",Internet 60mbps ,53.65
128,"Kamloops, Canada",Gym monthly ,33.42
128,"Kamloops, Canada",Cinema (1 ticket),11.55
128,"Kamloops, Canada",Levi 501 Jeans,71.68
128,"Kamloops, Canada",Nike runners,91.08
129,"Galway, Ireland",Food,124.83
129,"Galway, Ireland",Cigarettes 20 Pack,7.42
129,"Galway, Ireland",Public Transport,20
129,"Galway, Ireland",Petrol 50L ,59
129,"Galway, Ireland",Utility bills ,261.69
129,"Galway, Ireland",Internet 60mbps ,69.37
129,"Galway, Ireland",Gym monthly ,41.17
129,"Galway, Ireland",Cinema (1 ticket),12.75
129,"Galway, Ireland",Levi 501 Jeans,53.75
129,"Galway, Ireland",Nike runners,84.25
130,"Fredericton, Canada",Food,96.93
130,"Fredericton, Canada",Cigarettes 20 Pack,6.11
130,"Fredericton, Canada",Public Transport,37.67
130,"Fredericton, Canada",Petrol 50L ,113
130,"Fredericton, Canada",Utility bills ,209.24
130,"Fredericton, Canada",Internet 60mbps ,33.34
130,"Fredericton, Canada",Gym monthly ,57.96
130,"Fredericton, Canada",Cinema (1 ticket),10.54
130,"Fredericton, Canada",Levi 501 Jeans,94.84
130,"Fredericton, Canada",Nike runners,90.62
131,"Antwerp, Belgium",Food,112.37
131,"Antwerp, Belgium",Cigarettes 20 Pack,7
131,"Antwerp, Belgium",Public Transport,30
131,"Antwerp, Belgium",Petrol 50L ,59
131,"Antwerp, Belgium",Utility bills ,169.61
131,"Antwerp, Belgium",Internet 60mbps ,71.25
131,"Antwerp, Belgium",Gym monthly ,38
131,"Antwerp, Belgium",Cinema (1 ticket),13.45
131,"Antwerp, Belgium",Levi 501 Jeans,37.17
131,"Antwerp, Belgium",Nike runners,63.16
132,"Toulouse, France",Food,92.45
132,"Toulouse, France",Cigarettes 20 Pack,27.18
132,"Toulouse, France",Public Transport,135.92
132,"Toulouse, France",Petrol 50L ,67.5
132,"Toulouse, France",Utility bills ,198.48
132,"Toulouse, France",Internet 60mbps ,48.42
132,"Toulouse, France",Gym monthly ,36.43
132,"Toulouse, France",Cinema (1 ticket),12.91
132,"Toulouse, France",Levi 501 Jeans,71.36
132,"Toulouse, France",Nike runners,89.7
133,"Helsinki, Finland",Food,79.99
133,"Helsinki, Finland",Cigarettes 20 Pack,14.76
133,"Helsinki, Finland",Public Transport,77.01
133,"Helsinki, Finland",Petrol 50L ,97
133,"Helsinki, Finland",Utility bills ,145.96
133,"Helsinki, Finland",Internet 60mbps ,35.06
133,"Helsinki, Finland",Gym monthly ,29.06
133,"Helsinki, Finland",Cinema (1 ticket),7.69
133,"Helsinki, Finland",Levi 501 Jeans,60.13
133,"Helsinki, Finland",Nike runners,71.75
134,"Brussels, Belgium",Food,100.82
134,"Brussels, Belgium",Cigarettes 20 Pack,14.08
134,"Brussels, Belgium",Public Transport,61.14
134,"Brussels, Belgium",Petrol 50L ,71
134,"Brussels, Belgium",Utility bills ,140.5
134,"Brussels, Belgium",Internet 60mbps ,75.81
134,"Brussels, Belgium",Gym monthly ,44.31
134,"Brussels, Belgium",Cinema (1 ticket),11.12
134,"Brussels, Belgium",Levi 501 Jeans,66.02
134,"Brussels, Belgium",Nike runners,88.89
135,"Cork, Ireland",Food,102.28
135,"Cork, Ireland",Cigarettes 20 Pack,6.32
135,"Cork, Ireland",Public Transport,34.77
135,"Cork, Ireland",Petrol 50L ,101.5
135,"Cork, Ireland",Utility bills ,216.55
135,"Cork, Ireland",Internet 60mbps ,34.15
135,"Cork, Ireland",Gym monthly ,29.72
135,"Cork, Ireland",Cinema (1 ticket),12.38
135,"Cork, Ireland",Levi 501 Jeans,96.7
135,"Cork, Ireland",Nike runners,93.82
136,"Eindhoven, Netherlands",Food,91.78
136,"Eindhoven, Netherlands",Cigarettes 20 Pack,7.59
136,"Eindhoven, Netherlands",Public Transport,84.3
136,"Eindhoven, Netherlands",Petrol 50L ,111
136,"Eindhoven, Netherlands",Utility bills ,287.93
136,"Eindhoven, Netherlands",Internet 60mbps ,39.32
136,"Eindhoven, Netherlands",Gym monthly ,45.55
136,"Eindhoven, Netherlands",Cinema (1 ticket),14.75
136,"Eindhoven, Netherlands",Levi 501 Jeans,92.73
136,"Eindhoven, Netherlands",Nike runners,99.35
137,"Hamilton, New Zealand",Food,118.46
137,"Hamilton, New Zealand",Cigarettes 20 Pack,7.55
137,"Hamilton, New Zealand",Public Transport,60
137,"Hamilton, New Zealand",Petrol 50L ,60
137,"Hamilton, New Zealand",Utility bills ,225.27
137,"Hamilton, New Zealand",Internet 60mbps ,72.62
137,"Hamilton, New Zealand",Gym monthly ,46.12
137,"Hamilton, New Zealand",Cinema (1 ticket),12
137,"Hamilton, New Zealand",Levi 501 Jeans,44.44
137,"Hamilton, New Zealand",Nike runners,77.86
138,"Tucson, AZ, United States",Food,81.1
138,"Tucson, AZ, United States",Cigarettes 20 Pack,14.76
138,"Tucson, AZ, United States",Public Transport,73.8
138,"Tucson, AZ, United States",Petrol 50L ,98.5
138,"Tucson, AZ, United States",Utility bills ,205.54
138,"Tucson, AZ, United States",Internet 60mbps ,34.38
138,"Tucson, AZ, United States",Gym monthly ,38.35
138,"Tucson, AZ, United States",Cinema (1 ticket),10.46
138,"Tucson, AZ, United States",Levi 501 Jeans,74.68
138,"Tucson, AZ, United States",Nike runners,79.18
139,"Kansas City, MO, United States",Food,115.88
139,"Kansas City, MO, United States",Cigarettes 20 Pack,8.5
139,"Kansas City, MO, United States",Public Transport,47.5
139,"Kansas City, MO, United States",Petrol 50L ,59
139,"Kansas City, MO, United States",Utility bills ,139.05
139,"Kansas City, MO, United States",Internet 60mbps ,68.45
139,"Kansas City, MO, United States",Gym monthly ,26.88
139,"Kansas City, MO, United States",Cinema (1 ticket),14
139,"Kansas City, MO, United States",Levi 501 Jeans,49.75
139,"Kansas City, MO, United States",Nike runners,73.38
140,"Ottawa, Canada",Food,107.31
140,"Ottawa, Canada",Cigarettes 20 Pack,10
140,"Ottawa, Canada",Public Transport,75
140,"Ottawa, Canada",Petrol 50L ,58
140,"Ottawa, Canada",Utility bills ,177.81
140,"Ottawa, Canada",Internet 60mbps ,73.5
140,"Ottawa, Canada",Gym monthly ,30
140,"Ottawa, Canada",Cinema (1 ticket),15
140,"Ottawa, Canada",Levi 501 Jeans,53.17
140,"Ottawa, Canada",Nike runners,79.43
141,"Graz, Austria",Food,110.82
141,"Graz, Austria",Cigarettes 20 Pack,10
141,"Graz, Austria",Public Transport,0
141,"Graz, Austria",Petrol 50L ,66
141,"Graz, Austria",Utility bills ,168.89
141,"Graz, Austria",Internet 60mbps ,67
141,"Graz, Austria",Gym monthly ,37.25
141,"Graz, Austria",Cinema (1 ticket),12
141,"Graz, Austria",Levi 501 Jeans,39.29
141,"Graz, Austria",Nike runners,64.83
142,Data Unavailable for this city,No data for this city,0
143,"Gold Coast, Australia",Food,110.97
143,"Gold Coast, Australia",Cigarettes 20 Pack,8
143,"Gold Coast, Australia",Public Transport,42
143,"Gold Coast, Australia",Petrol 50L ,52
143,"Gold Coast, Australia",Utility bills ,156.47
143,"Gold Coast, Australia",Internet 60mbps ,65.38
143,"Gold Coast, Australia",Gym monthly ,46.45
143,"Gold Coast, Australia",Cinema (1 ticket),13
143,"Gold Coast, Australia",Levi 501 Jeans,56.21
143,"Gold Coast, Australia",Nike runners,87.91
144,"Dusseldorf, Germany",Food,93.07
144,"Dusseldorf, Germany",Cigarettes 20 Pack,27.18
144,"Dusseldorf, Germany",Public Transport,134.56
144,"Dusseldorf, Germany",Petrol 50L ,69
144,"Dusseldorf, Germany",Utility bills ,143.1
144,"Dusseldorf, Germany",Internet 60mbps ,51.29
144,"Dusseldorf, Germany",Gym monthly ,41.84
144,"Dusseldorf, Germany",Cinema (1 ticket),12.23
144,"Dusseldorf, Germany",Levi 501 Jeans,72.56
144,"Dusseldorf, Germany",Nike runners,107.32
145,"Halifax, Canada",Food,69.61
145,"Halifax, Canada",Cigarettes 20 Pack,6.55
145,"Halifax, Canada",Public Transport,21.6
145,"Halifax, Canada",Petrol 50L ,44.5
145,"Halifax, Canada",Utility bills ,159.57
145,"Halifax, Canada",Internet 60mbps ,103.19
145,"Halifax, Canada",Gym monthly ,75.29
145,"Halifax, Canada",Cinema (1 ticket),8.35
145,"Halifax, Canada",Levi 501 Jeans,51.05
145,"Halifax, Canada",Nike runners,96.8
146,"Quebec City, Canada",Food,96.84
146,"Quebec City, Canada",Cigarettes 20 Pack,6.11
146,"Quebec City, Canada",Public Transport,27.4
146,"Quebec City, Canada",Petrol 50L ,72
146,"Quebec City, Canada",Utility bills ,112.74
146,"Quebec City, Canada",Internet 60mbps ,36.88
146,"Quebec City, Canada",Gym monthly ,59.45
146,"Quebec City, Canada",Cinema (1 ticket),10.54
146,"Quebec City, Canada",Levi 501 Jeans,73.76
146,"Quebec City, Canada",Nike runners,92.86
147,"Saint Louis, MO, United States",Food,116.35
147,"Saint Louis, MO, United States",Cigarettes 20 Pack,11.53
147,"Saint Louis, MO, United States",Public Transport,56
147,"Saint Louis, MO, United States",Petrol 50L ,61.5
147,"Saint Louis, MO, United States",Utility bills ,150.75
147,"Saint Louis, MO, United States",Internet 60mbps ,67
147,"Saint Louis, MO, United States",Gym monthly ,41.25
147,"Saint Louis, MO, United States",Cinema (1 ticket),11
147,"Saint Louis, MO, United States",Levi 501 Jeans,47.38
147,"Saint Louis, MO, United States",Nike runners,69.17
148,"Christchurch, New Zealand",Food,95.04
148,"Christchurch, New Zealand",Cigarettes 20 Pack,23.67
148,"Christchurch, New Zealand",Public Transport,73.9
148,"Christchurch, New Zealand",Petrol 50L ,89
148,"Christchurch, New Zealand",Utility bills ,111.66
148,"Christchurch, New Zealand",Internet 60mbps ,49.09
148,"Christchurch, New Zealand",Gym monthly ,39.22
148,"Christchurch, New Zealand",Cinema (1 ticket),12.19
148,"Christchurch, New Zealand",Levi 501 Jeans,75.73
148,"Christchurch, New Zealand",Nike runners,96.59
149,"San Antonio, TX, United States",Food,106.5
149,"San Antonio, TX, United States",Cigarettes 20 Pack,12.78
149,"San Antonio, TX, United States",Public Transport,115.62
149,"San Antonio, TX, United States",Petrol 50L ,72
149,"San Antonio, TX, United States",Utility bills ,127.96
149,"San Antonio, TX, United States",Internet 60mbps ,54.91
149,"San Antonio, TX, United States",Gym monthly ,46.66
149,"San Antonio, TX, United States",Cinema (1 ticket),11.12
149,"San Antonio, TX, United States",Levi 501 Jeans,60.67
149,"San Antonio, TX, United States",Nike runners,91.66
150,"Grenoble, France",Food,110.98
150,"Grenoble, France",Cigarettes 20 Pack,7
150,"Grenoble, France",Public Transport,50
150,"Grenoble, France",Petrol 50L ,57.5
150,"Grenoble, France",Utility bills ,165.59
150,"Grenoble, France",Internet 60mbps ,74.52
150,"Grenoble, France",Gym monthly ,40.07
150,"Grenoble, France",Cinema (1 ticket),13
150,"Grenoble, France",Levi 501 Jeans,40.37
150,"Grenoble, France",Nike runners,78.97
151,"Hamilton, Canada",Food,100.26
151,"Hamilton, Canada",Cigarettes 20 Pack,25.5
151,"Hamilton, Canada",Public Transport,28.86
151,"Hamilton, Canada",Petrol 50L ,90.5
151,"Hamilton, Canada",Utility bills ,118.66
151,"Hamilton, Canada",Internet 60mbps ,50.83
151,"Hamilton, Canada",Gym monthly ,51.15
151,"Hamilton, Canada",Cinema (1 ticket),9.62
151,"Hamilton, Canada",Levi 501 Jeans,70.55
151,"Hamilton, Canada",Nike runners,91.93
152,"Nagoya, Japan",Food,97.93
152,"Nagoya, Japan",Cigarettes 20 Pack,9.48
152,"Nagoya, Japan",Public Transport,57.96
152,"Nagoya, Japan",Petrol 50L ,116
152,"Nagoya, Japan",Utility bills ,151.08
152,"Nagoya, Japan",Internet 60mbps ,20.61
152,"Nagoya, Japan",Gym monthly ,42.89
152,"Nagoya, Japan",Cinema (1 ticket),15.28
152,"Nagoya, Japan",Levi 501 Jeans,86.93
152,"Nagoya, Japan",Nike runners,79.03
153,"Rotterdam, Netherlands",Food,74.21
153,"Rotterdam, Netherlands",Cigarettes 20 Pack,13.53
153,"Rotterdam, Netherlands",Public Transport,67.65
153,"Rotterdam, Netherlands",Petrol 50L ,94.5
153,"Rotterdam, Netherlands",Utility bills ,258.8
153,"Rotterdam, Netherlands",Internet 60mbps ,32.39
153,"Rotterdam, Netherlands",Gym monthly ,39.71
153,"Rotterdam, Netherlands",Cinema (1 ticket),11.69
153,"Rotterdam, Netherlands",Levi 501 Jeans,81.03
153,"Rotterdam, Netherlands",Nike runners,75.56
154,"Brighton, United Kingdom",Food,87.24
154,"Brighton, United Kingdom",Cigarettes 20 Pack,14.76
154,"Brighton, United Kingdom",Public Transport,70.73
154,"Brighton, United Kingdom",Petrol 50L ,96
154,"Brighton, United Kingdom",Utility bills ,280.1
154,"Brighton, United Kingdom",Internet 60mbps ,39.36
154,"Brighton, United Kingdom",Gym monthly ,33.83
154,"Brighton, United Kingdom",Cinema (1 ticket),12.91
154,"Brighton, United Kingdom",Levi 501 Jeans,90.2
154,"Brighton, United Kingdom",Nike runners,79.95
155,"Salzburg, Austria",Food,96.46
155,"Salzburg, Austria",Cigarettes 20 Pack,23.79
155,"Salzburg, Austria",Public Transport,71.36
155,"Salzburg, Austria",Petrol 50L ,68.5
155,"Salzburg, Austria",Utility bills ,147.67
155,"Salzburg, Austria",Internet 60mbps ,51.28
155,"Salzburg, Austria",Gym monthly ,45.75
155,"Salzburg, Austria",Cinema (1 ticket),12.23
155,"Salzburg, Austria",Levi 501 Jeans,58.93
155,"Salzburg, Austria",Nike runners,86.65
156,"Leuven, Belgium",Food,83.29
156,"Leuven, Belgium",Cigarettes 20 Pack,14.91
156,"Leuven, Belgium",Public Transport,86.1
156,"Leuven, Belgium",Petrol 50L ,101
156,"Leuven, Belgium",Utility bills ,255.46
156,"Leuven, Belgium",Internet 60mbps ,34.03
156,"Leuven, Belgium",Gym monthly ,32.27
156,"Leuven, Belgium",Cinema (1 ticket),11.69
156,"Leuven, Belgium",Levi 501 Jeans,83.25
156,"Leuven, Belgium",Nike runners,77.04
157,Data Unavailable for this city,No data for this city,0
158,"Linz, Austria",Food,92.17
158,"Linz, Austria",Cigarettes 20 Pack,6.59
158,"Linz, Austria",Public Transport,78.93
158,"Linz, Austria",Petrol 50L ,98
158,"Linz, Austria",Utility bills ,117.13
158,"Linz, Austria",Internet 60mbps ,30.25
158,"Linz, Austria",Gym monthly ,33.35
158,"Linz, Austria",Cinema (1 ticket),14.53
158,"Linz, Austria",Levi 501 Jeans,87.43
158,"Linz, Austria",Nike runners,87.67
159,"Florence, Italy",Food,119.34
159,"Florence, Italy",Cigarettes 20 Pack,9
159,"Florence, Italy",Public Transport,95
159,"Florence, Italy",Petrol 50L ,56.5
159,"Florence, Italy",Utility bills ,191.73
159,"Florence, Italy",Internet 60mbps ,69.44
159,"Florence, Italy",Gym monthly ,36.9
159,"Florence, Italy",Cinema (1 ticket),12
159,"Florence, Italy",Levi 501 Jeans,50.22
159,"Florence, Italy",Nike runners,86.11
160,"Nantes, France",Food,108.95
160,"Nantes, France",Cigarettes 20 Pack,14.08
160,"Nantes, France",Public Transport,95.24
160,"Nantes, France",Petrol 50L ,79
160,"Nantes, France",Utility bills ,91.93
160,"Nantes, France",Internet 60mbps ,62.95
160,"Nantes, France",Gym monthly ,46.24
160,"Nantes, France",Cinema (1 ticket),12.6
160,"Nantes, France",Levi 501 Jeans,58.69
160,"Nantes, France",Nike runners,87.35
161,"Louisville, KY, United States",Food,84.47
161,"Louisville, KY, United States",Cigarettes 20 Pack,15.7
161,"Louisville, KY, United States",Public Transport,61.47
161,"Louisville, KY, United States",Petrol 50L ,100
161,"Louisville, KY, United States",Utility bills ,170.45
161,"Louisville, KY, United States",Internet 60mbps ,67.62
161,"Louisville, KY, United States",Gym monthly ,56.2
161,"Louisville, KY, United States",Cinema (1 ticket),8.69
161,"Louisville, KY, United States",Levi 501 Jeans,47.29
161,"Louisville, KY, United States",Nike runners,86.06
162,"Red Deer, Canada",Food,82.6
162,"Red Deer, Canada",Cigarettes 20 Pack,15.99
162,"Red Deer, Canada",Public Transport,102.58
162,"Red Deer, Canada",Petrol 50L ,98
162,"Red Deer, Canada",Utility bills ,261.88
162,"Red Deer, Canada",Internet 60mbps ,41.46
162,"Red Deer, Canada",Gym monthly ,35.94
162,"Red Deer, Canada",Cinema (1 ticket),12.3
162,"Red Deer, Canada",Levi 501 Jeans,86.1
162,"Red Deer, Canada",Nike runners,77.31
163,"Saskatoon, Canada",Food,87.73
163,"Saskatoon, Canada",Cigarettes 20 Pack,15.99
163,"Saskatoon, Canada",Public Transport,100.55
163,"Saskatoon, Canada",Petrol 50L ,97.5
163,"Saskatoon, Canada",Utility bills ,253.22
163,"Saskatoon, Canada",Internet 60mbps ,36.9
163,"Saskatoon, Canada",Gym monthly ,43.62
163,"Saskatoon, Canada",Cinema (1 ticket),15.25
163,"Saskatoon, Canada",Levi 501 Jeans,73.34
163,"Saskatoon, Canada",Nike runners,81.8
164,"Surrey, Canada",Food,99.11
164,"Surrey, Canada",Cigarettes 20 Pack,5.8
164,"Surrey, Canada",Public Transport,37.41
164,"Surrey, Canada",Petrol 50L ,103.5
164,"Surrey, Canada",Utility bills ,229.79
164,"Surrey, Canada",Internet 60mbps ,29.83
164,"Surrey, Canada",Gym monthly ,55.29
164,"Surrey, Canada",Cinema (1 ticket),9.48
164,"Surrey, Canada",Levi 501 Jeans,79.38
164,"Surrey, Canada",Nike runners,83.99
165,"Heidelberg, Germany",Food,100.48
165,"Heidelberg, Germany",Cigarettes 20 Pack,15.99
165,"Heidelberg, Germany",Public Transport,70.73
165,"Heidelberg, Germany",Petrol 50L ,95
165,"Heidelberg, Germany",Utility bills ,301.9
165,"Heidelberg, Germany",Internet 60mbps ,31.37
165,"Heidelberg, Germany",Gym monthly ,51.25
165,"Heidelberg, Germany",Cinema (1 ticket),12.29
165,"Heidelberg, Germany",Levi 501 Jeans,69.96
165,"Heidelberg, Germany",Nike runners,84.56
166,"Gent, Belgium",Food,98.96
166,"Gent, Belgium",Cigarettes 20 Pack,7.38
166,"Gent, Belgium",Public Transport,70.6
166,"Gent, Belgium",Petrol 50L ,115.5
166,"Gent, Belgium",Utility bills ,237.95
166,"Gent, Belgium",Internet 60mbps ,38.75
166,"Gent, Belgium",Gym monthly ,39.14
166,"Gent, Belgium",Cinema (1 ticket),10.54
166,"Gent, Belgium",Levi 501 Jeans,94.13
166,"Gent, Belgium",Nike runners,91.91
167,"Bologna, Italy",Food,104.21
167,"Bologna, Italy",Cigarettes 20 Pack,6.5
167,"Bologna, Italy",Public Transport,20
167,"Bologna, Italy",Petrol 50L ,57
167,"Bologna, Italy",Utility bills ,188.64
167,"Bologna, Italy",Internet 60mbps ,66.42
167,"Bologna, Italy",Gym monthly ,37.09
167,"Bologna, Italy",Cinema (1 ticket),12
167,"Bologna, Italy",Levi 501 Jeans,46.1
167,"Bologna, Italy",Nike runners,81.5
168,"Rome, Italy",Food,97.01
168,"Rome, Italy",Cigarettes 20 Pack,7.9
168,"Rome, Italy",Public Transport,115.91
168,"Rome, Italy",Petrol 50L ,113.5
168,"Rome, Italy",Utility bills ,284.99
168,"Rome, Italy",Internet 60mbps ,36.06
168,"Rome, Italy",Gym monthly ,41.23
168,"Rome, Italy",Cinema (1 ticket),11.59
168,"Rome, Italy",Levi 501 Jeans,78.89
168,"Rome, Italy",Nike runners,92.73
169,"Cologne, Germany",Food,94.79
169,"Cologne, Germany",Cigarettes 20 Pack,19.03
169,"Cologne, Germany",Public Transport,62.15
169,"Cologne, Germany",Petrol 50L ,68
169,"Cologne, Germany",Utility bills ,237.85
169,"Cologne, Germany",Internet 60mbps ,61.16
169,"Cologne, Germany",Gym monthly ,54.37
169,"Cologne, Germany",Cinema (1 ticket),14.95
169,"Cologne, Germany",Levi 501 Jeans,68.64
169,"Cologne, Germany",Nike runners,73.05
170,"Salt Lake City, UT, United States",Food,141.48
170,"Salt Lake City, UT, United States",Cigarettes 20 Pack,8
170,"Salt Lake City, UT, United States",Public Transport,90
170,"Salt Lake City, UT, United States",Petrol 50L ,55
170,"Salt Lake City, UT, United States",Utility bills ,148.98
170,"Salt Lake City, UT, United States",Internet 60mbps ,65.56
170,"Salt Lake City, UT, United States",Gym monthly ,73.33
170,"Salt Lake City, UT, United States",Cinema (1 ticket),15
